method,N,p,k,rho,sep,distribution,rep,syn_idx,success_kmeans,success_hc,diff_sil_km,diff_sil_hc,diff_dist_km,diff_dist_hc,sil_real_km,sil_syn_km,sil_real_hc,sil_syn_hc,dist_real_km,dist_syn_km,dist_real_hc,dist_syn_hc
cart,1000,10,2,0.4,0.1,gamma,1,1,1,1,0.010664810062699537,0.036641234015748786,0.007701684198198944,-0.028419440824409392,0.2815043828529759,0.29216919291567545,0.24201310307970317,0.27865433709545195,2.6196924507028543,2.6273941349010532,2.684577754776268,2.6561583139518588
cart,1000,10,2,0.4,0.1,gamma,2,1,1,1,0.03771124549906857,0.08975788297283258,0.05047503620792293,0.1474352348377299,0.29818774289446426,0.3358989883935328,0.2200686931921034,0.309826576164936,2.6468073046962886,2.6972823409042115,2.576247217316748,2.723682452154478
cart,1000,10,2,0.4,0.1,gamma,3,1,1,1,0.012459666030592731,0.17286419363392425,0.05345818468541186,0.43498020545006755,0.300944800534615,0.3134044665652077,0.22778622398337045,0.4006504176172947,2.624429031468771,2.6778872161541827,2.5211479132836847,2.9561281187337523
cart,1000,10,2,0.4,0.1,gamma,4,1,1,1,-0.008607098906991129,-0.035284336435218056,0.020624826361766324,-0.07427468356832101,0.2749748451369629,0.2663677462299718,0.3187167779468581,0.28343244151164004,2.618594277698282,2.6392191040600483,2.8406365572626875,2.7663618736943665
cart,1000,10,2,0.4,0.1,gamma,5,1,1,1,0.005085036389606112,-0.08094656874143802,-0.03444109560766995,-0.3123419160017904,0.27377457738287864,0.27885961377248475,0.34548067435919927,0.26453410561776125,2.6035054959835966,2.5690644003759266,2.9190144768406645,2.606672560838874
cart,1000,10,2,0.4,2.0,gamma,1,1,1,1,0.021294287054840766,-0.01641700114209993,0.0024607429328513675,-0.14569731522488505,0.2560934053787985,0.27738769243363925,0.27597688864867664,0.2595598875065767,2.70130509124243,2.7037658341752815,2.8694475623231166,2.7237502470982315
cart,1000,10,2,0.4,2.0,gamma,2,1,1,1,-0.004242788303136236,-0.009709389775336474,0.0183619587547188,-0.12619349941030844,0.2638125328147871,0.2595697445116509,0.24254509823746193,0.23283570846212545,2.595817918536156,2.6141798772908746,2.7515647597089767,2.6253712602986683
cart,1000,10,2,0.4,2.0,gamma,3,1,1,1,0.0041550255369617595,0.02426362448653749,-0.03786463054908218,0.03165130778648084,0.2386709039191302,0.24282592945609197,0.16564531760684797,0.18990894209338546,2.670502238114466,2.6326376075653837,2.597107069757924,2.628758377544405
cart,1000,10,2,0.4,2.0,gamma,4,1,1,1,-0.014203885056887688,-0.05356381578332503,-0.0249089832287841,-0.08013222251034735,0.28364059323534435,0.26943670817845666,0.3240299186016866,0.2704661028183616,2.689345448231994,2.66443646500321,2.856481114719709,2.7763488922093615
cart,1000,10,2,0.4,2.0,gamma,5,1,1,1,0.013028737585498829,-0.0034426256109953424,0.1434444387161582,0.03749392640373461,0.25597986980772935,0.2690086073932282,0.28164204502328893,0.2781994194122936,2.6534106067129386,2.796855045429097,2.8129430003000584,2.850436926703793
cart,1000,10,2,0.0,0.1,gamma,1,1,1,1,0.02417850612624456,-0.03710333352039953,0.0581169241106303,-0.3348419519931376,0.09475537814732476,0.11893388427356932,0.13459845373446686,0.09749512021406732,2.9136252207072073,2.9717421448178376,3.057230806989602,2.7223888549964643
cart,1000,10,2,0.0,0.1,gamma,2,1,0,1,-0.002557038752005261,0.01896703514644224,-0.04840717165637898,-0.08651712926609756,0.0920523358310669,0.08949529707906163,0.0664833516233317,0.08545038676977394,2.9274923894514586,2.8790852177950796,2.9612599206620236,2.874742791395926
cart,1000,10,2,0.0,0.1,gamma,3,1,1,1,0.050838173432220995,0.07168755888330267,0.08991220274861522,0.17594171674158998,0.09802876988674941,0.1488669433189704,0.07171636059942879,0.14340391948273146,2.9118346997523883,3.0017469025010035,2.886799247044364,3.062740963785954
cart,1000,10,2,0.0,0.1,gamma,4,1,0,1,0.017473725645870505,0.06201683302604522,-0.042593917132610404,-0.003113311468111224,0.10808073777390519,0.1255544634197757,0.03640328278772533,0.09842011581377055,2.9533755591977227,2.9107816420651123,2.863818934985851,2.86070562351774
cart,1000,10,2,0.0,0.1,gamma,5,1,1,0,-0.002898091768266095,-0.03025066231197991,-0.03656771513896251,-0.07975410898404611,0.11132217461544301,0.10842408284717692,0.09360628728264361,0.0633556249706637,2.9816721662837242,2.9451044511447617,3.009430129185398,2.929676020201352
cart,1000,10,2,0.0,2.0,gamma,1,1,0,0,0.0032590581052280715,0.0038218880289778018,0.022785855950707035,0.0001232763367911005,0.1115497478018904,0.11480880590711848,0.07525392009777401,0.07907580812675181,2.82146820826416,2.844254064214867,2.8829804843108233,2.8831037606476144
cart,1000,10,2,0.0,2.0,gamma,2,1,1,0,0.000808869302753118,0.030253386585529785,-0.008099960845051157,0.11837246155598846,0.12013164067961302,0.12094050998236613,0.04870529112650551,0.0789586777120353,2.824271239770943,2.816171278925892,2.755987900382622,2.8743603619386104
cart,1000,10,2,0.0,2.0,gamma,3,1,1,0,0.011617617314200274,0.007167073448795858,0.024320497399500596,-0.03614945053153118,0.11303993025161896,0.12465754756581923,0.06651496261747133,0.07368203606626719,2.8096874139339922,2.834007911333493,2.878407317134517,2.842257866602986
