N,p,k,rho,sep,rep,syn_idx,distribution,success_kmeans,success_hc,diff_sil_km,diff_sil_hc,diff_dist_km,diff_dist_hc,sil_real_km,sil_syn_km,dist_real_km,dist_syn_km
1000,10,2,0.4,0.1,1,10,gamma,1,1,0.00883712838039602,0.08460975266097256,0.024327056917818446,0.5547429017015881,0.27649866226147274,0.28533579064186876,3.5504776726904703,3.5748047296082888
1000,10,2,0.4,0.1,1,10,normal,1,1,-0.0026924555546695983,-0.0043356180427546465,-0.04278892188588301,-0.11133768628881979,0.2442818191432829,0.2415893635886133,3.50268949949507,3.459900577609187
1000,10,2,0.4,0.1,1,1,gamma,1,1,-0.026159738803755772,0.004281538537045271,-0.23747619948219434,-0.0019373128079647195,0.27649866226147274,0.25033892345771697,3.5504776726904703,3.313001473208276
1000,10,2,0.4,0.1,1,1,normal,1,1,0.02387523814325193,0.02508377741587703,0.14659772907329582,0.18730225625213626,0.2442818191432829,0.26815705728653483,3.50268949949507,3.6492872285683657
1000,10,2,0.4,0.1,1,2,gamma,1,1,-0.003244689445194182,-0.010596849251586687,-0.07082581111823005,-0.037633852523171196,0.27649866226147274,0.27325397281627856,3.5504776726904703,3.4796518615722403
1000,10,2,0.4,0.1,1,2,normal,1,1,-0.023510801881747312,-0.019649249648850148,-0.19207854104352018,-0.16505033884235853,0.2442818191432829,0.22077101726153558,3.50268949949507,3.3106109584515497
1000,10,2,0.4,0.1,1,3,gamma,1,1,0.020681941540271087,0.1051105434713436,0.12886526523164354,0.7773597131626593,0.27649866226147274,0.2971806038017438,3.5504776726904703,3.679342937922114
1000,10,2,0.4,0.1,1,3,normal,1,1,-0.008137252695537972,-0.020953642591985622,-0.07980539184616031,-0.22753019848973155,0.2442818191432829,0.23614456644774492,3.50268949949507,3.4228841076489096
1000,10,2,0.4,0.1,1,4,gamma,1,1,-0.00508972494792953,0.0032956460040984292,-0.037443426458241724,0.06809657052024543,0.27649866226147274,0.2714089373135432,3.5504776726904703,3.5130342462322286
1000,10,2,0.4,0.1,1,4,normal,1,1,0.0028327469627779656,0.003753982166982528,0.0088460803502044,-0.03749142450207943,0.2442818191432829,0.24711456610606086,3.50268949949507,3.5115355798452743
1000,10,2,0.4,0.1,1,5,gamma,1,1,-0.02038489517863057,0.015329995332270085,-0.12766011755212503,0.11534360130580668,0.27649866226147274,0.25611376708284217,3.5504776726904703,3.4228175551383453
1000,10,2,0.4,0.1,1,5,normal,1,1,-0.010276826621020807,-0.01808136168525143,-0.098645778279701,-0.20884157076635956,0.2442818191432829,0.2340049925222621,3.50268949949507,3.404043721215369
1000,10,2,0.4,0.1,1,6,gamma,1,1,0.0007055304496422221,0.08472402326141734,-0.03620761109555515,0.5153102806379204,0.27649866226147274,0.27720419271111496,3.5504776726904703,3.514270061594915
