method,rho,sigma_2,rep,term,beta_true,beta_od,beta_sd,diff
cart,0.0,1.0,1,β₀ (intercept),1,1.0695949401585694,0.8420401397070527,0.22755480045151666
cart,0.0,1.0,1,β1,1,0.9310597481124644,0.5169220636041171,0.4141376845083473
cart,0.0,1.0,1,β2,1,1.0699387289721929,0.9549605954749981,0.11497813349719477
cart,0.0,1.0,1,β3,1,0.9893420846895901,0.6189239903969411,0.37041809429264894
cart,0.0,1.0,1,β4,1,0.9744431408250928,0.3567716581880299,0.6176714826370628
cart,0.0,1.0,1,β5,1,0.9463313942773809,0.386957477716832,0.5593739165605489
cart,0.0,1.0,1,β6,1,0.9700864135899154,0.4585116300683851,0.5115747835215303
cart,0.0,1.0,1,β7,1,0.9930304389321427,0.5132276907197745,0.47980274821236824
cart,0.0,1.0,1,β8,1,1.0174814138252914,0.9368626632649844,0.0806187505603071
cart,0.0,1.0,1,β9,1,1.0177576823586216,0.7447611453630768,0.2729965369955448
cart,0.0,1.0,1,β10,1,1.0115182828096472,0.35750319328026653,0.6540150895293806
cart,0.0,1.0,10,β₀ (intercept),1,1.022526091432006,0.9712128344639904,0.051313256968015586
cart,0.0,1.0,10,β1,1,1.037672041070157,0.6657137387920279,0.3719583022781291
cart,0.0,1.0,10,β2,1,1.032204475292267,0.9874478978122014,0.04475657748006556
cart,0.0,1.0,10,β3,1,0.9772716758043435,0.6353470181233426,0.3419246576810009
cart,0.0,1.0,10,β4,1,0.9810075551791297,0.5294931117933568,0.45151444338577296
cart,0.0,1.0,10,β5,1,0.9675124523355062,0.4519516236494787,0.5155608286860275
cart,0.0,1.0,10,β6,1,1.0118426754307126,0.6846633499993313,0.3271793254313813
cart,0.0,1.0,10,β7,1,1.0430413319313694,0.7561808057489037,0.2868605261824657
cart,0.0,1.0,10,β8,1,0.9908878728906507,0.48016231901679196,0.5107255538738588
cart,0.0,1.0,10,β9,1,1.0385121947797589,0.18107135087639958,0.8574408439033593
cart,0.0,1.0,10,β10,1,0.9347334648829306,0.6100337572173663,0.32469970766556433
cart,0.0,1.0,100,β₀ (intercept),1,0.9780179506315356,0.9080693258409258,0.06994862479060981
cart,0.0,1.0,100,β1,1,1.0230596275101036,0.3414152236949549,0.6816444038151487
cart,0.0,1.0,100,β2,1,1.0441888178279255,0.7153779346769932,0.3288108831509323
