method,rho,sigma_2,rep,r2_od,r2_sd,r2_diff,ci_overlap_pct
cart,0.0,1.0,1,0.9080356183401548,0.4195798525301767,0.48845576580997807,10.511818538567645
cart,0.0,1.0,10,0.9119985479216879,0.36898573359857934,0.5430128143231086,5.403288275201406
cart,0.0,1.0,100,0.9215076882251865,0.3337735955936796,0.5877340926315069,0.5132345501757746
cart,0.0,1.0,11,0.9139351119807752,0.3289118435252917,0.5850232684554835,7.335917595425057
cart,0.0,1.0,12,0.909211864757051,0.34500902451135906,0.5642028402456919,5.974703120960738
cart,0.0,1.0,13,0.9113741988186994,0.3887349745988876,0.5226392242198118,7.267179605174645
cart,0.0,1.0,14,0.9107846430220935,0.3513692468797648,0.5594153961423287,7.088074401291333
cart,0.0,1.0,15,0.911253468448718,0.4069074402994942,0.5043460281492238,8.172548823254184
cart,0.0,1.0,16,0.9261897832009046,0.3896826534442046,0.5365071297567,7.4549159895131805
cart,0.0,1.0,17,0.9068265577734707,0.2855299535666439,0.6212966042068268,2.6145077174575277
cart,0.0,1.0,18,0.9033937279409424,0.35173199156670054,0.5516617363742419,4.382312596298779
cart,0.0,1.0,19,0.9147408754687548,0.29002138844899783,0.624719487019757,0.0
cart,0.0,1.0,2,0.9142856409997322,0.39717375989668824,0.517111881103044,7.40629255363618
cart,0.0,1.0,20,0.9059920463403185,0.37827587933958906,0.5277161670007294,0.4706499387000922
cart,0.0,1.0,21,0.899556648388003,0.3179411734692801,0.5816154749187229,1.2105954449298326
cart,0.0,1.0,22,0.9142523278860182,0.3519286680283109,0.5623236598577073,1.4603298817094126
cart,0.0,1.0,23,0.9143780443536278,0.3875344691703356,0.5268435751832922,7.010606066532296
cart,0.0,1.0,24,0.9034414035653222,0.3797129282811402,0.523728475284182,0.33355401376221727
cart,0.0,1.0,25,0.9159411241351736,0.3537657013388804,0.5621754227962932,3.0053989349371655
cart,0.0,1.0,26,0.9032207299698853,0.35662147951002554,0.5465992504598598,3.9488234753124365
cart,0.0,1.0,27,0.9116389203607318,0.4649094252094489,0.4467294951512829,11.565642523838413
cart,0.0,1.0,28,0.9158900073845428,0.35756788902533,0.5583221183592129,5.584512455670713
cart,0.0,1.0,29,0.9030976629406409,0.2800911811760557,0.6230064817645852,10.394747389464346
cart,0.0,1.0,3,0.9137022861583338,0.3512836554346307,0.5624186307237031,6.505848815148221
cart,0.0,1.0,30,0.9121304373638791,0.36201581091030466,0.5501146264535745,1.156755529867493
cart,0.0,1.0,31,0.9129350632947565,0.4119263960885986,0.5010086672061579,11.024576311070051
cart,0.0,1.0,32,0.9033148114650508,0.29704745468282545,0.6062673567822253,0.0
cart,0.0,1.0,33,0.9022555835268384,0.3127582347282254,0.589497348798613,2.7439555392083075
cart,0.0,1.0,34,0.911634324556116,0.3719546690720055,0.5396796554841106,0.7505888580422083
cart,0.0,1.0,35,0.906639167403407,0.3229118543808014,0.5837273130226056,1.6360014091247184
cart,0.0,1.0,36,0.8989969582175122,0.36224795324117365,0.5367490049763386,0.9718381795989127
cart,0.0,1.0,37,0.9028247590583723,0.3566553344673793,0.546169424590993,5.5638897942253385
cart,0.0,1.0,38,0.9155977808304869,0.32074126564078165,0.5948565151897053,5.104938925315222
cart,0.0,1.0,39,0.9168604351064288,0.3758568432256535,0.5410035918807753,7.095383716909315
cart,0.0,1.0,4,0.9139725248634463,0.34492419376390393,0.5690483310995423,5.283611466057246
cart,0.0,1.0,40,0.9077315503836927,0.37432814276685766,0.533403407616835,8.478637135839852
cart,0.0,1.0,41,0.9132215465363329,0.43970895794835585,0.47351258858797707,4.374580837049876
cart,0.0,1.0,42,0.927464829538923,0.3278720413119127,0.5995927882270102,0.0
cart,0.0,1.0,43,0.9051851836220629,0.4070557441678496,0.4981294394542133,9.527916164307248
cart,0.0,1.0,44,0.9064197953270806,0.3865303641225666,0.519889431204514,2.5711963441770607
cart,0.0,1.0,45,0.909561386951214,0.36042621586443513,0.5491351710867789,7.1232024698155705
cart,0.0,1.0,46,0.9035509109478487,0.35172751251185386,0.5518233984359948,0.0
cart,0.0,1.0,47,0.9051123187327397,0.37170633063214487,0.5334059881005948,5.057887786212777
cart,0.0,1.0,48,0.9092890093925813,0.4299150262072291,0.4793739831853522,9.952060721251966
cart,0.0,1.0,49,0.9104385826604398,0.40915452927380247,0.5012840533866373,6.9742216370204915
cart,0.0,1.0,5,0.9025274877470226,0.38422529153142226,0.5183021962156004,11.340796457633658
cart,0.0,1.0,50,0.9173541701439788,0.34657657242844664,0.5707775977155322,10.024047606968042
cart,0.0,1.0,51,0.9081169620715843,0.36743561293360116,0.5406813491379832,0.1797007393201681
cart,0.0,1.0,52,0.9077495791194159,0.42440252805300127,0.4833470510664146,4.4680015736904775
cart,0.0,1.0,53,0.9039324727270779,0.31935094484926985,0.584581527877808,1.885990097064357
cart,0.0,1.0,54,0.9144342163799923,0.402566523290818,0.5118676930891743,10.241454293181807
cart,0.0,1.0,55,0.9105251160531157,0.38591696780610885,0.5246081482470069,7.697004295571568
cart,0.0,1.0,56,0.9078979788106233,0.3319490380827571,0.5759489407278662,5.350944559622915
cart,0.0,1.0,57,0.9038352787583599,0.3617016496062124,0.5421336291521475,10.120419665162029
cart,0.0,1.0,58,0.9091233079080274,0.4090695710557203,0.5000537368523071,5.994276987100703
cart,0.0,1.0,59,0.9145990475262366,0.32096155195790343,0.5936374955683331,4.183600301519445
cart,0.0,1.0,6,0.9030497234924393,0.3710638933762642,0.5319858301161751,5.278955211981343
cart,0.0,1.0,60,0.9007957371855445,0.31957300411131484,0.5812227330742297,5.576090851467079
cart,0.0,1.0,61,0.9015373864610896,0.32198068224021015,0.5795567042208795,6.605378108632771
cart,0.0,1.0,62,0.904836594131986,0.3183147166486251,0.5865218774833609,5.5997811365554595
cart,0.0,1.0,63,0.914654982909601,0.33316368744281466,0.5814912954667864,0.0
cart,0.0,1.0,64,0.9097300953948224,0.35966826517017425,0.5500618302246482,3.855449352724051
cart,0.0,1.0,65,0.9065177654869467,0.3516728276602825,0.5548449378266642,0.0
cart,0.0,1.0,66,0.9126981999782694,0.35443773379588206,0.5582604661823873,5.330547311970857
cart,0.0,1.0,67,0.9082122447147997,0.3497961842317764,0.5584160604830233,6.818927709849741
cart,0.0,1.0,68,0.9050643374429042,0.3705984652561576,0.5344658721867466,5.482177514997125
cart,0.0,1.0,69,0.9210183149883009,0.36577304887318507,0.5552452661151158,0.936940493403012
cart,0.0,1.0,7,0.9138426198565668,0.3984284017543611,0.5154142181022057,6.0895958119029165
cart,0.0,1.0,70,0.9121154873259986,0.38422597972944017,0.5278895075965584,0.0
cart,0.0,1.0,71,0.9043935103945553,0.3046874436603353,0.59970606673422,3.409879213023447
cart,0.0,1.0,72,0.9127807482762349,0.4662679516358822,0.4465127966403527,9.146161961784738
cart,0.0,1.0,73,0.9094760480008297,0.38823315674320724,0.5212428912576225,9.975772509152078
cart,0.0,1.0,74,0.9106004512603509,0.40468312341670776,0.5059173278436432,2.864399385599673
cart,0.0,1.0,75,0.9060110156697436,0.34455553397522165,0.561455481694522,5.699100752489023
cart,0.0,1.0,76,0.8999176069745536,0.2897366854209882,0.6101809215535654,2.2247049168598294
cart,0.0,1.0,77,0.9027669826843111,0.31715123560030234,0.5856157470840088,2.4306882911982313
cart,0.0,1.0,78,0.9045884944654728,0.36355937057475207,0.5410291238907208,6.012078464058947
cart,0.0,1.0,79,0.9029226052730414,0.38568362097202247,0.5172389843010189,11.238477224627538
cart,0.0,1.0,8,0.9139713123455634,0.38462941193309874,0.5293419004124646,0.0
cart,0.0,1.0,80,0.9098873961050186,0.38421033369685353,0.525677062408165,5.928930020825853
cart,0.0,1.0,81,0.9143136656535952,0.32750031502557864,0.5868133506280165,4.970982345850107
cart,0.0,1.0,82,0.91506710473622,0.3227520770228819,0.5923150277133381,0.9508910187009157
cart,0.0,1.0,83,0.9019328116253242,0.3335548358858167,0.5683779757395075,4.763034228034126
cart,0.0,1.0,84,0.9135123039364037,0.34036386728204304,0.5731484366543607,0.0
cart,0.0,1.0,85,0.9012279456617603,0.34597241590762096,0.5552555297541394,0.0
cart,0.0,1.0,86,0.9060162953640423,0.4185962680570091,0.48742002730703315,5.679631270563519
cart,0.0,1.0,87,0.9180539302793097,0.3589199035949462,0.5591340266843635,6.621041301462979
cart,0.0,1.0,88,0.9075689122634015,0.39138404730360343,0.5161848649597981,11.045791338538661
cart,0.0,1.0,89,0.9108496091956223,0.33479240531417886,0.5760572038814434,2.038686122828463
cart,0.0,1.0,9,0.9149272694147649,0.4150184991601933,0.4999087702545716,5.543393450778531
cart,0.0,1.0,90,0.9105658997921696,0.3663716305492024,0.5441942692429672,2.701707759916066
cart,0.0,1.0,91,0.9198544593196603,0.40195102125807436,0.5179034380615859,4.986571151196524
cart,0.0,1.0,92,0.9182239888824126,0.42393917945851656,0.4942848094238961,9.262917833868704
cart,0.0,1.0,93,0.9069650940077104,0.37607699529692096,0.5308880987107895,5.758514038248263
cart,0.0,1.0,94,0.9136632575334733,0.35445806327066043,0.5592051942628129,0.8681365757341278
cart,0.0,1.0,95,0.9080520590559957,0.34857665336885857,0.5594754056871372,2.7455702243207885
cart,0.0,1.0,96,0.9102490636703429,0.37547332625132923,0.5347757374190136,3.7620778056372735
