reg_type,arm,var_type,sig_agree_%,ci_overlap_%,ci_width_ratio,coef_eucl_dist,adj_R2_gap,fail_od_%,fail_sd_%,pseudoR2_gap
linear,XCART_YCART,binary,87.0,57.6,1.13,0.8475,-0.0735,0.0,0.0,
linear,XCART_YNORM,binary,95.3,71.1,1.026,0.4672,0.0118,0.0,0.0,
linear,XLOGREG_YCART,binary,86.6,57.5,1.135,0.8604,-0.0837,0.0,0.0,
linear,XLOGREG_YNORM,binary,95.3,71.1,1.028,0.468,0.0069,0.0,0.0,
linear,XCART_YCART,continuous,86.2,33.8,1.689,0.9874,-0.2908,0.0,0.0,
linear,XNORM_YNORM,continuous,99.7,71.2,1.016,0.2293,0.0023,0.0,0.0,
logistic,XCART_YCART,binary,80.0,67.5,1.463,1.2815,,0.11,1.75,0.0176
logistic,XLOGREG_YLOGREG,binary,82.8,70.9,1.406,1.1374,,0.11,1.91,0.0268
logistic,XCART_YCART,continuous,79.7,48.7,0.959,1.1975,,0.0,0.0,-0.0821
logistic,XCART_YLOGREG,continuous,90.3,70.7,1.094,0.7881,,0.0,0.08,0.0177
logistic,XNORM_YCART,continuous,78.5,46.4,0.912,1.2017,,0.0,0.0,-0.0991
logistic,XNORM_YLOGREG,continuous,90.5,70.5,1.078,0.7915,,0.0,0.13,0.023
